Product Name,Actual Price,offer Price,No.of Ratings,reviews,Averager Rating,Brand,offer %
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,"₹50,990","₹35,990","1,452",91,4.2,ASUS,29% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,"₹50,990","₹35,990","1,452",91,4.2,ASUS,29% off
HP MSO 2024 Intel Core i3 13th Gen 1315U,"₹54,479","₹38,990",64,8,4.1,HP,28% off
HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3,"₹39,724","₹32,349",39,1,4.5,HP,18% off
DELL 15 Intel Core i3 12th Gen 1215U,"₹44,861","₹32,990",651,45,4.2,DELL,26% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U,"₹56,990","₹37,990",237,26,4.4,ASUS,33% off
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U,"₹44,990","₹29,990",465,73,4.1,Acer,33% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U,"₹43,990","₹33,890","2,361",235,4.2,ASUS,22% off
Lenovo Lenovo V15 G3 IAP Intel Core i7 12th Gen 1255U,"₹90,540","₹47,990",64,6,4.1,Lenovo,46% off
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U,"₹68,990","₹30,490",75,4,4.1,DELL,55% off
Lenovo LOQ Intel Core i5 13th Gen 13450HX,"₹1,04,490","₹77,990","1,576",133,4.3,Lenovo,25% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,"₹70,990","₹54,990","1,018",81,4.3,ASUS,22% off
HP Chromebook Intel Celeron Dual Core N4120,"₹32,295","₹16,990","1,804",146,3.9,HP,47% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
HP Laptop AMD Ryzen 3 Quad Core 5300U,"₹44,783","₹31,549","2,161",185,4.2,HP,29% off
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U,"₹61,990","₹35,990","3,741",409,4.4,ASUS,41% off
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U,"₹74,990","₹46,990",573,48,4,Acer,37% off
Acer Aspire Intel Core i5 12th Gen 12450H,"₹59,999","₹44,900",544,53,4.1,Acer,25% off
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,"₹57,990","₹35,990",153,16,4.2,ASUS,37% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
Acer Aspire Intel Core i5 12th Gen 12450H,"₹56,990","₹47,990",544,53,4.1,Acer,15% off
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H,"₹85,990","₹61,990",28,3,4.1,ASUS,27% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U","₹74,990","₹45,990",109,4,4.2,ASUS,38% off
Lenovo Intel Core i7 12th Gen 1255U,"₹89,990","₹47,890","1,442",126,4.1,Lenovo,46% off
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U,"₹78,189","₹54,490","6,996",601,4.5,SAMSUNG,30% off
HP AMD Ryzen 5 Hexa Core 5500U,"₹52,055","₹35,990","1,131",75,4.3,HP,30% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
HP Laptop AMD Ryzen 3 Quad Core 5300U,"₹44,783","₹31,549","2,161",185,4.2,HP,29% off
HP 15s Intel Core i5 12th Gen 1235U,"₹73,400","₹49,780",563,44,4,HP,32% off
DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U,"₹68,990","₹31,990",28,1,4.1,DELL,53% off
CHUWI Intel Celeron Quad Core 12th Gen N100,"₹34,990","₹17,990",517,92,4.1,CHUWI,48% off
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U,"₹43,990","₹30,990","2,361",235,4.2,ASUS,29% off
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,"₹1,11,990","₹89,400",116,6,4.6,ASUS,20% off
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS,"₹87,990","₹62,990",807,83,4.4,Lenovo,28% off
Infinix Y3 Max Series Intel Core i7 12th Gen 1255U,"₹84,990","₹39,990",9,2,4.3,Infinix,52% off
Acer One Intel Core i3 11th Gen 1115G4,"₹43,999","₹28,990","13,051",963,4.2,Acer,34% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,"₹16,298","₹9,999",13,0,3.6,Lenovo,38% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U,"₹74,990","₹41,990","2,618",210,4.4,ASUS,44% off
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U,"₹52,990","₹28,990",53,4,4.2,HP,45% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
ASUS Chromebook Intel Celeron Dual Core N4500,"₹32,990","₹15,990","2,441",222,3.8,ASUS,51% off
