product_name,actual_price,offer_price,no.of_ratings,reviews,averager_rating,brand,offer_%
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
MSI Modern 14 Intel Core i7 12th Gen 1255U,78990,42999,181,21,4.3,MSI,45
Lenovo LOQ Essential Intel Core i7 12th Gen 12650HX,95090,68990,43,4,4.1,Lenovo,27
Acer Aspire 3 Intel Core i5 13th Gen 1334U,66999,45990,149,15,4.3,Acer,31
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H,101090,76990,332,38,4.1,Lenovo,23
Acer Aspire Intel Core i5 12th Gen 12450H,56990,47990,537,53,4.1,Acer,15
Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U,52999,22499,262,27,3.8,Acer,57
HP 15R (2025) Intel Core i3 13th Gen 1315U,85000,34099,20,0,3.7,HP,59
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U,56990,41990,236,26,4.4,ASUS,26
ASUS Chromebook Intel Celeron Dual Core N4500,32990,16990,2437,221,3.8,ASUS,48
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U,74990,46990,2618,210,4.4,ASUS,37
MOTOROLA Motobook 60 Full Metal Intel Core 7 (Series 2) 240H,110490,78990,36,7,4.3,MOTOROLA,28
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U,74990,46990,2618,210,4.4,ASUS,37
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H,99990,62990,38,7,4.5,ASUS,37
SAMSUNG Galaxy Book4 Intel Core 5 120U,86239,62490,156,16,4.4,SAMSUNG,27
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,54990,38990,118,13,4.3,ASUS,29
DELL Intel Celeron Quad Core,48990,21390,0,0,0.0,DELL,56
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
DELL Intel Core i3 13th Gen 1305U,46027,35990,384,33,4.1,DELL,21
MOTOROLA Motobook 60 Full Metal Intel Core 7 (Series 2) 240H,110490,78990,36,7,4.3,MOTOROLA,28
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U",74990,50990,108,4,4.2,ASUS,32
HP Chromebook Intel Celeron Dual Core N4120,32295,16990,1794,143,3.9,HP,47
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,69990,40990,7265,408,4.2,ASUS,41
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U,61990,41990,3716,406,4.4,ASUS,32
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite",146990,94990,28,2,4.2,ASUS,35
DELL 15 Intel Core i3 12th Gen 1215U,44861,32990,639,45,4.2,DELL,26
HP 14R (2025) Intel Core i3 13th Gen 1315U,82990,38990,11,4,4.5,HP,53
Lenovo AMD Ryzen 3 Quad Core 7330U,85371,33990,29,6,4.1,Lenovo,60
ASUS Vivobook S 15 OLED Intel Core i9 13th Gen 13900H,116990,92832,43,7,3.9,ASUS,20
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,55990,41990,1018,72,4.2,ASUS,25
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,31990,25999,366,33,4.1,HP,18
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,50990,37990,1444,89,4.2,ASUS,25
HP 250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost,54999,33490,75,5,4.1,HP,39
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
DELL Intel Core i3 13th Gen 1305U,46027,35990,384,33,4.1,DELL,21
ASUS Vivobook S 15 Intel Core i9 13th Gen 13900H,110990,83990,88,8,4.5,ASUS,24
ASUS Chromebook Intel Celeron Dual Core N4500,32990,15990,2437,221,3.8,ASUS,51
HP AMD Ryzen 5 Quad Core 7520U,56831,42990,66,10,4.0,HP,24
Acer One Intel Core i3 11th Gen 1115G4,43999,28990,13046,963,4.2,Acer,34
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,57990,38990,14,0,3.6,ASUS,32
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020,38790,24989,399,33,3.9,Lenovo,35
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U,56490,37990,4309,383,4.2,Lenovo,32
"ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H",89990,72990,195,13,4.3,ASUS,18
